banned_address,wallet_tag,data_source
0x02d0b53ec925f5c5907eb3dd85bededaa4362564,Fake_Phishing1983,etherscan-phish-hack-list
0x02d1347abe00beaa073058b1414722cdcc31abb3,Fake_Phishing2259,etherscan-phish-hack-list
0x02da54ffdbb67e35d70c6b20fa217349dee28b08,Fake_Phishing4049,etherscan-phish-hack-list
0x02dfa0d5184c41689377d5d47054da210ce941f6,Fake_Phishing2767,etherscan-phish-hack-list
0x02ec8d1f360ac651a99aec50c873100ca3563301,Fake_Phishing4052,etherscan-phish-hack-list
0x02fabfd6d5608977d5952d9ef071445420c47efd,Fake_Phishing5074,etherscan-phish-hack-list
0x02fd82cba3bae39484d5eb7f75b5f3d5f418c691,Fake_Phishing4106,etherscan-phish-hack-list
0x0310c4385311d225cbcaca26fefc9ab45d3eba3e,Fake_Phishing504,etherscan-phish-hack-list
0x031ae3d7e6b22b5400d215e6ca84ba4341e48b24,Fake_Phishing3905,etherscan-phish-hack-list
0x031bf1601c970581e3c50631242197de56918cd1,Fake_Phishing3261,etherscan-phish-hack-list
0x0324a5f6289e647baf88d9c96c331cf964220ce8,Fake_Phishing1190,etherscan-phish-hack-list
0x0324d6ca206dd4a807ac9fec93589fdd9e614cdf,Fake_Phishing2204,etherscan-phish-hack-list
0x032fb380d84917d408ea172383cf214c28b4fe21,Fake_Phishing3743,etherscan-phish-hack-list
0x0341552cabe750ae3a593de78a50bff0570efdea,Fake_Phishing5400,etherscan-phish-hack-list
0x0344d3fecda48b181d99a0b7d875d957aa12369c,Fake_Phishing4306,etherscan-phish-hack-list
0x03563a50e43a6841a56500071440549def71c98d,Fake_Phishing5095,etherscan-phish-hack-list
0x0387cfc283ffcf25a4a6a61e832545bbeb7c8fda,Fake_Phishing301,etherscan-phish-hack-list
0x03b70dc31abf9cf6c1cf80bfeeb322e8d3dbb4ca,Browser Extension Hack,etherscan-phish-hack-list
0x03b7882e55871ffb6300bd2511a52685d689bec3,Fake_Phishing4247,etherscan-phish-hack-list
0x03d18450b2ef96a94b2930e4c36d8a667ce51fc9,Fake_Phishing3144,etherscan-phish-hack-list
0x31d9dd312de765dcfe2246f7eff51e29684e1cec,Fake_Phishing5532,etherscan-phish-hack-list
0x31f530b58efa42dab4bd1789184b4cc6b884dea0,Fake_Phishing1937,etherscan-phish-hack-list
0x3218a52709505bbbb4a006b6265f3f7e4cd1f982,Fake_Phishing5537,etherscan-phish-hack-list
0x3219ebdcbc9f79f59c8c53105f3e74e0289f3ea9,Fake_Phishing670,etherscan-phish-hack-list
0x3232d99007e509d29564099c622a89e143fdc05c,Fake_Phishing1956,etherscan-phish-hack-list
0x324b38a61fe8aab275780d822f639d60be6caf93,Fake_Phishing1443,etherscan-phish-hack-list
0x3258674d5eb5cfca42c18585b95fff50e098ebd4,Fake_Phishing2562,etherscan-phish-hack-list
0x32672bd5f7f68ccae5e23986a11f89b51016145e,Fake_Phishing861,etherscan-phish-hack-list
0x32875b3b6cedf78743de48d4c5f5758a31d1b8ae,Fake_Phishing2935,etherscan-phish-hack-list
0x32a4bbfa9f55cadeb0b8f33b2d9499c524987f40,Fake_Phishing3756,etherscan-phish-hack-list
0x32aa5d54150640d56d93032bc409c48c60dd0107,Fake_Phishing302,etherscan-phish-hack-list
0x32b7d2c82ee59ef18e1e17de43e1b9786b6a42bd,Fake_Phishing3177,etherscan-phish-hack-list
0x32c648164d27a2fe26329bb0cff5c379cd1178f9,Fake_Phishing4008,etherscan-phish-hack-list
0x32ea6b24675349edb6df2896457819289aad180e,Fake_Phishing1424,etherscan-phish-hack-list
0x32ebca8decdfe3b41f0324d2bc49fff4951f27f2,Fake_Phishing5069,etherscan-phish-hack-list
0x32f36ccecafa2fcea6020279572361d36d923764,Fake_Phishing2655,etherscan-phish-hack-list
0x330e6d6cab1e721c528cb9d6ad997a38e140b1b9,Fake_Phishing532,etherscan-phish-hack-list
0x3331656f7ac3a12ea5e71528b4c6889663c8d989,Fake_Phishing3210,etherscan-phish-hack-list
